country,erect_length,body_size,extraversion,extraversion_excess
Afghanistan,13.69,1.68,,7.53
Albania,14.19,1.74,,5.02
Algeria,14.49,1.74,,-10.29
Angola,15.73,1.68,,2.09
Argentina,14.88,1.74,49.1,2.9
Armenia,13.14,1.73,,3.59
Australia,14.46,1.79,48.98,1.78
Austria,14.53,1.78,50.61,-3.48
Azerbaijan,13.72,1.73,,2.85
Bangladesh,11.2,1.65,44.98,-2.27
Belarus,14.63,1.78,,-5.66
Belgium,14.77,1.79,45.99,-0.11
Bolivia,16.51,1.68,49.34,0.23
Botswana,,,49.56,-1.27
Brazil,15.22,1.75,45.89,-9.85
Bulgaria,15.02,1.73,,-0.16
Cambodia,10.04,1.65,,2.16
Cameroon,16.67,1.71,,8.43
Canada,15.71,1.78,48.32,-2.47
Cape Verde,14.05,1.75,,
Central African Republic,15.33,1.68,,
Chad,15.39,1.71,,
Chile,14.59,1.73,47.55,-10.92
China,13.07,1.75,,-0.14
Colombia,15.26,1.71,,2.62
Costa Rica,15.01,1.74,,2.39
Croatia,14.77,1.81,51.7,-0.43
Cuba,15.87,1.73,,
Cyprus,,,49.1,3.16
Czech Republic,,,50.22,-6.74
Democratic Republic of the Congo,14.48,1.68,51.19,
Denmark,14.88,1.82,,-0.71
Ecuador,17.61,1.67,,2.2
Egypt,15.69,1.73,,2.23
El Salvador,14.88,1.7,,0.76
Ethiopia,,,47.11,2.85
Fiji,,,49.68,7.25
Finland,13.77,1.8,49.84,-9.3
France,15.74,1.78,45.44,-1
Gambia,15.88,1.68,,
Georgia,15.61,1.75,,-0.36
Germany,14.52,1.8,50.31,-6.17
Greece,13.3,1.79,48.6,0.03
Haiti,16.01,1.72,,7.09
Honduras,15,1.69,,4.1
Hong Kong,11.19,1.74,46.91,
Hungary,14.99,1.76,,-5.07
India,13.71,1.66,47.42,5.6
Indonesia,11.67,1.66,51.25,4.35
Iran,11.95,1.75,,5.59
Ireland,12.78,1.79,,-0.68
Israel,13.6,1.76,48.65,-1.28
Italy,15.35,1.74,49.8,-6.94
Ivory Coast,15.22,1.68,,
Japan,13.56,1.72,46.73,-3.07
Jordan,,,48.35,6.94
Latvia,14.69,1.8,49.39,-7.98
Libya,13.74,1.75,,-2.61
Lebanon,,,48.32,12.78
Lithuania,,,49.71,-11.19
Malaysia,11.49,1.68,50.03,-1.17
Malta,,,50.45,
Mexico,14.92,1.7,50.24,2.83
Mongolia,12.77,1.7,,1.78
Morocco,,,48.81,-3.81
Myanmar,10.7,1.66,,-1.74
Netherlands,15.87,1.84,49.75,2.07
New Zealand,13.99,1.78,50.61,1.41
Nigeria,14.38,1.7,,7.43
North Macedonia,13.98,1.76,,3.25
Norway,14.34,1.8,,-1.54
Pakistan,12.2,1.67,,6.59
Paraguay,15.53,1.73,,-6.15
Peru,,,48.35,0.97
Philippines,10.85,1.65,48.12,-2.85
Poland,14.29,1.8,49.12,-9.66
Portugal,,,48.06,-9.3
Romania,12.73,1.77,50.33,1.58
Russia,13.21,1.76,,-7.8
Senegal,15.89,1.75,,4.82
Serbia,14.87,1.8,51.95,2.2
Singapore,11.53,1.73,,
Slovakia,,,49.05,-7.03
Slovenia,,,50.54,-2.49
South Korea,13.16,1.75,44.86,-0.16
Spain,13.85,1.76,49,0.45
Sri Lanka,10.89,1.67,,6.89
Sudan,16.47,1.71,,1.42
Sweden,15.08,1.8,,-0.05
Switzerland,14.35,1.79,50.47,3.6
Taiwan,12.6,1.73,47.75,-1.9
Tanzania,,,49.19,6.54
Thailand,11.45,1.71,,1.67
Turkey,12.99,1.76,51.59,3.22
Turkmenistan,13.48,1.73,,
Ukraine,13.97,1.8,46.45,1.1
United Kingdom,13.13,1.78,49.79,-0.33
United States of America,13.58,1.77,50,-0.4
Venezuela,13.33,1.73,,-2.23
Vietnam,11.47,1.68,,1.06
Yemen,12.72,1.63,,1.94
Zambia,15.78,1.67,,4.08
Zimbabwe,15.68,1.7,48.69,6.08
